Variable,Year,Value,RSE,Industry
Lupins receipts ($),2018,25890.0,17.0,Cropping
Net capital additions ($),2018,251670.0,29.0,Cropping
Oats area sown (ha),2018,17.0,20.0,Cropping
Oats produced (t),2018,30.0,26.0,Cropping
Oats receipts ($),2018,14390.0,39.0,Cropping
Off farm contracts ($),2018,25770.0,22.0,Cropping
Off farm sharefarming ($),2018,5930.0,41.0,Cropping
Off-farm work for owner manager (hrsperwk),2018,3.0,47.0,Cropping
Off-farm work for spouse (hrsperwk),2018,11.0,14.0,Cropping
Oilseeds area sown (ha),2018,261.0,8.0,Cropping
Oilseeds produced (t),2018,311.0,9.0,Cropping
Oilseeds receipts ($),2018,187650.0,10.0,Cropping
Other administration expenses ($),2018,12270.0,8.0,Cropping
Other farm income ($),2018,66540.0,10.0,Cropping
Other livestock purchased ($),2018,10.0,123.0,Cropping
Other livestock receipts ($),2018,140.0,67.0,Cropping
Other materials ($),2018,6840.0,16.0,Cropping
Other services ($),2018,23010.0,8.0,Cropping
Payments to sharefarmers ($),2018,1270.0,125.0,Cropping
Population,2018,8010.0,,Cropping
Produce purchased for resale ($),2018,1120.0,94.0,Cropping
Profit at full equity ($),2018,376990.0,11.0,Cropping
Profit at full equity including capital appreciation ($),2018,822160.0,10.0,Cropping
Rams at 30 June (no.),2018,10.0,20.0,Cropping
Rate of return ex. capital appreciation (%),2018,3.9,11.0,Cropping
Rate of return inc. capital appreciation (%),2018,8.4,9.0,Cropping
Repairs and maintenance ($),2018,103420.0,5.0,Cropping
Rice area sown (ha),2018,5.0,32.0,Cropping
Sample Contributing,2018,351.0,,Cropping
Seed ($),2018,17110.0,11.0,Cropping
Shearing crutching ($),2018,6650.0,12.0,Cropping
Sheep and lambs shorn (no.),2018,705.0,12.0,Cropping
Sheep flock at 30 June (no.),2018,649.0,10.0,Cropping
Sheep purchased ($),2018,11660.0,20.0,Cropping
Sheep purchased (no.),2018,71.0,26.0,Cropping
Sheep receipts ($),2018,54160.0,11.0,Cropping
Sheep sold (no.),2018,334.0,10.0,Cropping
Shire and PPB rates ($),2018,24310.0,6.0,Cropping
Sorghum area sown (ha),2018,26.0,13.0,Cropping
Sorghum produced (t),2018,79.0,12.0,Cropping
Sorghum receipts ($),2018,27370.0,13.0,Cropping
Steers and other beef cattle at 30 June (no.),2018,3.0,33.0,Cropping
Stores and rations ($),2018,510.0,25.0,Cropping
Telephone ($),2018,5340.0,5.0,Cropping
Total area cropped (ha),2018,1670.0,4.0,Cropping
Total area irrigated (ha),2018,,,Cropping
Total cash costs ($),2018,992880.0,5.0,Cropping
Total cash receipts ($),2018,1548970.0,5.0,Cropping
Total closing capital ($),2018,9742210.0,4.0,Cropping
Total crop gross receipts ($),2018,1346910.0,5.0,Cropping
Total family income ($),2018,304310.0,16.0,Cropping
Total freight ($),2018,45580.0,9.0,Cropping
Total labor used (weeks),2018,125.0,3.0,Cropping
Total non farm income ($),2018,58770.0,23.0,Cropping
Total off farm wages ($),2018,34800.0,19.0,Cropping
Total wool sold (kg),2018,2697.0,12.0,Cropping
Value of land and fixed improvements ($),2018,8246510.0,5.0,Cropping
Vet fees ($),2018,270.0,34.0,Cropping
Wages for hired labor ($),2018,41970.0,10.0,Cropping
Water charges ($),2018,14750.0,28.0,Cropping
Wethers at 30 June (no.),2018,22.0,29.0,Cropping
Wheat area sown (ha),2018,796.0,5.0,Cropping
Wheat produced (t),2018,1648.0,6.0,Cropping
Wheat receipts ($),2018,610890.0,6.0,Cropping
Wheat sold (t),2018,1715.0,6.0,Cropping
Wool cut per head (kg),2018,3.9,4.0,Cropping
Wool produced (kg),2018,2768.0,12.0,Cropping
Wool receipts ($),2018,35340.0,12.0,Cropping
AI stud fees and herd testing ($),2018,14160.0,7.0,Dairy
Accounting services ($),2018,6580.0,11.0,Dairy
Advisory services ($),2018,1920.0,18.0,Dairy
Age of owner manager (yrs),2018,58.0,3.0,Dairy
Age of spouse (yrs),2018,55.0,3.0,Dairy
Agistment ($),2018,6320.0,22.0,Dairy
Area operated at 30 June (ha),2018,300.0,4.0,Dairy
Beef cattle purchased ($),2018,1500.0,46.0,Dairy
Beef cattle receipts ($),2018,9080.0,25.0,Dairy
Beef cattle sold (no.),2018,8.0,25.0,Dairy
Beef herd at 30 June (no.),2018,21.0,27.0,Dairy
Buildup in trading stocks ($),2018,68570.0,15.0,Dairy
Capital appreciation ($),2018,95810.0,60.0,Dairy
Capital at 1 July ($),2018,6429160.0,3.0,Dairy
Change in farm debt ($),2018,-11710.0,427.0,Dairy
Contracts - cropping ($),2018,23960.0,11.0,Dairy
Contracts - livestock ($),2018,2680.0,30.0,Dairy
Crop and pasture chemicals ($),2018,6020.0,28.0,Dairy
Dairy cattle at June 30 (no.),2018,462.0,3.0,Dairy
Dairy cattle purchased ($),2018,12180.0,18.0,Dairy
Dairy cattle purchased (no.),2018,8.0,24.0,Dairy
Dairy cattle sold ($),2018,87290.0,6.0,Dairy
Dairy cattle sold (no.),2018,170.0,3.0,Dairy
Dairy cows at 30 June (no.),2018,278.0,3.0,Dairy
Dairy cows mated (no.),2018,268.0,3.0,Dairy
Dairy supplies ($),2018,18450.0,8.0,Dairy
Depreciation ($),2018,64440.0,4.0,Dairy
Electricity ($),2018,28510.0,4.0,Dairy
Equity ratio at 30 June (%),2018,80.0,1.0,Dairy
Family share of farm income ($),2018,206940.0,6.0,Dairy
Farm business debt at 30 June ($),2018,1296910.0,6.0,Dairy
Farm business equity June 30 ($),2018,5155920.0,4.0,Dairy
Farm business profit ($),2018,110260.0,17.0,Dairy
Farm cash income ($),2018,202740.0,11.0,Dairy
Farm liquid assets at 30 June ($),2018,146190.0,18.0,Dairy
Fertiliser ($),2018,53420.0,8.0,Dairy
Fodder ($),2018,262610.0,4.0,Dairy
Fuel oil and grease ($),2018,24380.0,4.0,Dairy
Handling and marketing ($),2018,17930.0,7.0,Dairy
Hours worked on farm - total (hrsperwk),2018,161.0,3.0,Dairy
Hours worked on farm by owner manager (hrsperwk),2018,61.0,3.0,Dairy
Hours worked on farm by spouse (hrsperwk),2018,20.0,12.0,Dairy
Imputed labor cost ($),2018,96600.0,5.0,Dairy
Insurance ($),2018,16400.0,7.0,Dairy
Interest paid ($),2018,65790.0,7.0,Dairy
Land rent ($),2018,20450.0,12.0,Dairy
Leasing charges ($),2018,790.0,40.0,Dairy
Livestock materials ($),2018,21170.0,9.0,Dairy
Livestock transfers - inwards ($),2018,1570.0,64.0,Dairy
Livestock transfers - outward ($),2018,1070.0,33.0,Dairy
Manufacturing milk (ltrs),2018,,,Dairy
Market milk (ltrs),2018,,,Dairy
Milk produced (ltrs),2018,1544432.0,4.0,Dairy
Milk receipts excluding freight ($),2018,902220.0,4.0,Dairy
Net capital additions ($),2018,-42160.0,259.0,Dairy
Off farm contracts ($),2018,6850.0,43.0,Dairy
Off farm sharefarming ($),2018,30.0,94.0,Dairy
Off-farm work for owner manager (hrsperwk),2018,0.0,57.0,Dairy
Off-farm work for spouse (hrsperwk),2018,5.0,28.0,Dairy
Other administration expenses ($),2018,12160.0,17.0,Dairy
Other farm income ($),2018,29090.0,19.0,Dairy
Other livestock purchased ($),2018,340.0,57.0,Dairy
Other livestock receipts ($),2018,1710.0,66.0,Dairy
Other materials ($),2018,8020.0,21.0,Dairy
Other services ($),2018,8980.0,9.0,Dairy
Payments to sharefarmers ($),2018,15860.0,67.0,Dairy
Population,2018,5984.0,,Dairy
Produce purchased for resale ($),2018,0.0,,Dairy
Profit at full equity ($),2018,197260.0,9.0,Dairy
Profit at full equity including capital appreciation ($),2018,293060.0,18.0,Dairy
Rate of return ex. capital appreciation (%),2018,3.0,9.0,Dairy
Rate of return inc. capital appreciation (%),2018,4.5,19.0,Dairy
Repairs and maintenance ($),2018,58900.0,6.0,Dairy
Sample Contributing,2018,302.0,,Dairy
Seed ($),2018,13220.0,9.0,Dairy
Shearing crutching ($),2018,40.0,49.0,Dairy
Shire and PPB rates ($),2018,13940.0,7.0,Dairy
Stores and rations ($),2018,590.0,87.0,Dairy
Telephone ($),2018,3280.0,5.0,Dairy
Total area cropped (ha),2018,144.0,6.0,Dairy
Total area irrigated (ha),2018,,,Dairy
Total cash costs ($),2018,841490.0,3.0,Dairy
Total cash receipts ($),2018,1044230.0,4.0,Dairy
Total closing capital ($),2018,6574680.0,3.0,Dairy
Total crop gross receipts ($),2018,6890.0,42.0,Dairy
Total family income ($),2018,237560.0,5.0,Dairy
Total freight ($),2018,7630.0,9.0,Dairy
Total labor used (weeks),2018,150.0,3.0,Dairy
Total non farm income ($),2018,22980.0,17.0,Dairy
Total off farm wages ($),2018,10380.0,31.0,Dairy
Value of land and fixed improvements ($),2018,4978540.0,4.0,Dairy
Vet fees ($),2018,7450.0,10.0,Dairy
Wages for hired labor ($),2018,64690.0,6.0,Dairy
Water charges ($),2018,19580.0,22.0,Dairy
AI stud fees and herd testing ($),2018,200.0,73.0,Mixed
Accounting services ($),2018,6400.0,8.0,Mixed
Advisory services ($),2018,1610.0,15.0,Mixed
Age of owner manager (yrs),2018,58.0,2.0,Mixed
Age of spouse (yrs),2018,55.0,2.0,Mixed
Agistment ($),2018,1180.0,32.0,Mixed
Area operated at 30 June (ha),2018,2378.0,115.0,Mixed
Barley area sown (ha),2018,118.0,11.0,Mixed
Barley produced (t),2018,309.0,15.0,Mixed
Barley receipts ($),2018,79220.0,21.0,Mixed
Beef bulls at 30 June (no.),2018,2.0,17.0,Mixed
Beef calves at 30 June (no.),2018,38.0,15.0,Mixed
Beef cattle purchased ($),2018,14630.0,24.0,Mixed
Beef cattle purchased (no.),2018,14.0,27.0,Mixed
Beef cattle receipts ($),2018,83900.0,13.0,Mixed
Beef cattle sold (no.),2018,55.0,13.0,Mixed
Beef cattle transferred off farm (no.),2018,0.0,96.0,Mixed
Beef cattle transferred onto farm (no.),2018,0.0,107.0,Mixed
Beef cows at 30 June (no.),2018,45.0,13.0,Mixed
Beef heifers at 30 June (no.),2018,8.0,19.0,Mixed
Beef herd at 30 June (no.),2018,113.0,13.0,Mixed
Branding rate (%),2018,86.3,2.0,Mixed
Buildup in trading stocks ($),2018,-25120.0,56.0,Mixed
Canola area sown (ha),2018,76.0,24.0,Mixed
Canola produced (t),2018,118.0,24.0,Mixed
Canola receipts ($),2018,60090.0,24.0,Mixed
Capital appreciation ($),2018,211840.0,19.0,Mixed
Capital at 1 July ($),2018,6820320.0,6.0,Mixed
Change in farm debt ($),2018,128300.0,36.0,Mixed
Contracts - cropping ($),2018,23190.0,15.0,Mixed
Contracts - livestock ($),2018,1490.0,20.0,Mixed
Cotton receipts ($),2018,8990.0,48.0,Mixed
Crop and pasture chemicals ($),2018,50590.0,10.0,Mixed
Dairy cattle at June 30 (no.),2018,0.0,,Mixed
Depreciation ($),2018,76910.0,15.0,Mixed
Electricity ($),2018,5800.0,10.0,Mixed
Equity ratio at 30 June (%),2018,86.0,2.0,Mixed
Ewes at 30 June (no.),2018,1289.0,12.0,Mixed
Family share of farm income ($),2018,155160.0,16.0,Mixed
Farm business debt at 30 June ($),2018,1013470.0,17.0,Mixed
Farm business equity June 30 ($),2018,6176140.0,6.0,Mixed
Farm business profit ($),2018,92140.0,26.0,Mixed
Farm cash income ($),2018,288200.0,8.0,Mixed
Farm liquid assets at 30 June ($),2018,274180.0,13.0,Mixed
Fertiliser ($),2018,67750.0,12.0,Mixed
Field peas area sown (ha),2018,4.0,33.0,Mixed
Field peas produced (t),2018,4.0,41.0,Mixed
Field peas receipts ($),2018,800.0,47.0,Mixed
Fodder ($),2018,11630.0,17.0,Mixed
Fuel oil and grease ($),2018,38260.0,10.0,Mixed
Grain legumes area sown (ha),2018,50.0,14.0,Mixed
Grain legumes produced (t),2018,48.0,15.0,Mixed
Grain legumes receipts ($),2018,23100.0,19.0,Mixed
Handling and marketing ($),2018,21700.0,16.0,Mixed
Hours worked on farm - total (hrsperwk),2018,113.0,7.0,Mixed
Hours worked on farm by owner manager (hrsperwk),2018,53.0,2.0,Mixed
Hours worked on farm by spouse (hrsperwk),2018,15.0,11.0,Mixed
Imputed labor cost ($),2018,94040.0,4.0,Mixed
Insurance ($),2018,20100.0,8.0,Mixed
Interest paid ($),2018,43660.0,17.0,Mixed
Lambs at 30 June (no.),2018,708.0,6.0,Mixed
Land rent ($),2018,14880.0,19.0,Mixed
Leasing charges ($),2018,630.0,44.0,Mixed
Livestock materials ($),2018,14330.0,21.0,Mixed
Livestock transfers - inwards ($),2018,80.0,97.0,Mixed
Livestock transfers - outward ($),2018,1040.0,61.0,Mixed
Lupins area sown (ha),2018,11.0,27.0,Mixed
Lupins produced (t),2018,14.0,34.0,Mixed
Lupins receipts ($),2018,3790.0,44.0,Mixed
Net capital additions ($),2018,160090.0,30.0,Mixed
Oats area sown (ha),2018,44.0,18.0,Mixed
Oats produced (t),2018,66.0,33.0,Mixed
Oats receipts ($),2018,17040.0,33.0,Mixed
Off farm contracts ($),2018,10650.0,25.0,Mixed
Off farm sharefarming ($),2018,3600.0,62.0,Mixed
Off-farm work for owner manager (hrsperwk),2018,1.0,49.0,Mixed
Off-farm work for spouse (hrsperwk),2018,8.0,16.0,Mixed
Oilseeds area sown (ha),2018,84.0,22.0,Mixed
Oilseeds produced (t),2018,120.0,24.0,Mixed
Oilseeds receipts ($),2018,61630.0,23.0,Mixed
Other administration expenses ($),2018,9190.0,13.0,Mixed
Other farm income ($),2018,32270.0,19.0,Mixed
Other livestock purchased ($),2018,20.0,103.0,Mixed
Other livestock receipts ($),2018,3390.0,58.0,Mixed
Other materials ($),2018,6560.0,17.0,Mixed
Other services ($),2018,13720.0,9.0,Mixed
Payments to sharefarmers ($),2018,1790.0,43.0,Mixed
Population,2018,8978.0,,Mixed
Produce purchased for resale ($),2018,340.0,121.0,Mixed
Profit at full equity ($),2018,150970.0,14.0,Mixed
Profit at full equity including capital appreciation ($),2018,362820.0,14.0,Mixed
Rams at 30 June (no.),2018,27.0,17.0,Mixed
Rate of return ex. capital appreciation (%),2018,2.1,15.0,Mixed
Rate of return inc. capital appreciation (%),2018,5.1,13.0,Mixed
Repairs and maintenance ($),2018,60560.0,26.0,Mixed
Rice area sown (ha),2018,1.0,48.0,Mixed
Sample Contributing,2018,335.0,,Mixed
Seed ($),2018,8420.0,13.0,Mixed
Shearing crutching ($),2018,20080.0,10.0,Mixed
Sheep and lambs shorn (no.),2018,2329.0,11.0,Mixed
Sheep flock at 30 June (no.),2018,2148.0,9.0,Mixed
Sheep purchased ($),2018,34170.0,13.0,Mixed
Sheep purchased (no.),2018,177.0,17.0,Mixed
Sheep receipts ($),2018,177440.0,8.0,Mixed
Sheep sold (no.),2018,1090.0,8.0,Mixed
Shire and PPB rates ($),2018,16620.0,7.0,Mixed
Sorghum area sown (ha),2018,4.0,39.0,Mixed
Sorghum produced (t),2018,10.0,44.0,Mixed
Sorghum receipts ($),2018,2550.0,48.0,Mixed
Steers and other beef cattle at 30 June (no.),2018,20.0,20.0,Mixed
Stores and rations ($),2018,160.0,28.0,Mixed
Telephone ($),2018,3820.0,7.0,Mixed
Total area cropped (ha),2018,703.0,6.0,Mixed
Total area irrigated (ha),2018,,,Mixed
Total cash costs ($),2018,565570.0,11.0,Mixed
Total cash receipts ($),2018,853770.0,9.0,Mixed
Total closing capital ($),2018,7155410.0,6.0,Mixed
Total crop gross receipts ($),2018,405260.0,12.0,Mixed
Total family income ($),2018,198810.0,12.0,Mixed
Total freight ($),2018,19670.0,9.0,Mixed
Total labor used (weeks),2018,113.0,5.0,Mixed
Total non farm income ($),2018,36000.0,16.0,Mixed
Total off farm wages ($),2018,20230.0,17.0,Mixed
Total wool sold (kg),2018,10310.0,12.0,Mixed
Value of land and fixed improvements ($),2018,5910660.0,6.0,Mixed
Vet fees ($),2018,1040.0,21.0,Mixed
Wages for hired labor ($),2018,23520.0,26.0,Mixed
Water charges ($),2018,7780.0,24.0,Mixed
Wethers at 30 June (no.),2018,124.0,21.0,Mixed
Wheat area sown (ha),2018,338.0,8.0,Mixed
Wheat produced (t),2018,568.0,8.0,Mixed
Wheat receipts ($),2018,177790.0,8.0,Mixed
Wheat sold (t),2018,539.0,8.0,Mixed
Wool cut per head (kg),2018,4.3,3.0,Mixed
Wool produced (kg),2018,10121.0,9.0,Mixed
Wool receipts ($),2018,136210.0,11.0,Mixed
AI stud fees and herd testing ($),2018,680.0,47.0,Sheep
Accounting services ($),2018,3750.0,7.0,Sheep
Advisory services ($),2018,460.0,28.0,Sheep
Age of owner manager (yrs),2018,61.0,1.0,Sheep
Age of spouse (yrs),2018,59.0,2.0,Sheep
Agistment ($),2018,1270.0,34.0,Sheep
Area operated at 30 June (ha),2018,3672.0,12.0,Sheep
Barley area sown (ha),2018,12.0,18.0,Sheep
Barley produced (t),2018,17.0,21.0,Sheep
Barley receipts ($),2018,2580.0,28.0,Sheep
Beef bulls at 30 June (no.),2018,1.0,25.0,Sheep
Beef calves at 30 June (no.),2018,12.0,17.0,Sheep
Beef cattle purchased ($),2018,4420.0,26.0,Sheep
Beef cattle purchased (no.),2018,3.0,27.0,Sheep
Beef cattle receipts ($),2018,21420.0,15.0,Sheep
Beef cattle sold (no.),2018,17.0,15.0,Sheep
Beef cattle transferred off farm (no.),2018,1.0,50.0,Sheep
Beef cattle transferred onto farm (no.),2018,0.0,125.0,Sheep
Beef cows at 30 June (no.),2018,18.0,15.0,Sheep
Beef heifers at 30 June (no.),2018,4.0,23.0,Sheep
Beef herd at 30 June (no.),2018,37.0,14.0,Sheep
Branding rate (%),2018,83.1,3.0,Sheep
Buildup in trading stocks ($),2018,-24360.0,35.0,Sheep
Canola area sown (ha),2018,4.0,34.0,Sheep
Canola produced (t),2018,5.0,38.0,Sheep
Canola receipts ($),2018,2810.0,43.0,Sheep
Capital appreciation ($),2018,329480.0,13.0,Sheep
Capital at 1 July ($),2018,4555400.0,4.0,Sheep
Change in farm debt ($),2018,20480.0,173.0,Sheep
Contracts - cropping ($),2018,5570.0,15.0,Sheep
Contracts - livestock ($),2018,2970.0,16.0,Sheep
Cotton receipts ($),2018,0.0,,Sheep
Crop and pasture chemicals ($),2018,5760.0,16.0,Sheep
Dairy cattle at June 30 (no.),2018,0.0,,Sheep
Depreciation ($),2018,33530.0,5.0,Sheep
Electricity ($),2018,3480.0,7.0,Sheep
Equity ratio at 30 June (%),2018,92.0,1.0,Sheep
Ewes at 30 June (no.),2018,1626.0,4.0,Sheep
Family share of farm income ($),2018,88980.0,17.0,Sheep
Farm business debt at 30 June ($),2018,382510.0,16.0,Sheep
Farm business equity June 30 ($),2018,4325310.0,5.0,Sheep
Farm business profit ($),2018,31470.0,38.0,Sheep
Farm cash income ($),2018,167370.0,8.0,Sheep
Farm liquid assets at 30 June ($),2018,199420.0,9.0,Sheep
Fertiliser ($),2018,17840.0,8.0,Sheep
Field peas area sown (ha),2018,0.0,72.0,Sheep
Field peas produced (t),2018,0.0,136.0,Sheep
Field peas receipts ($),2018,0.0,,Sheep
Fodder ($),2018,26770.0,9.0,Sheep
Fuel oil and grease ($),2018,13160.0,6.0,Sheep
Grain legumes area sown (ha),2018,1.0,35.0,Sheep
Grain legumes produced (t),2018,1.0,31.0,Sheep
Grain legumes receipts ($),2018,240.0,79.0,Sheep
Handling and marketing ($),2018,13780.0,9.0,Sheep
Hours worked on farm - total (hrsperwk),2018,83.0,5.0,Sheep
Hours worked on farm by owner manager (hrsperwk),2018,48.0,4.0,Sheep
Hours worked on farm by spouse (hrsperwk),2018,17.0,12.0,Sheep
Imputed labor cost ($),2018,78030.0,4.0,Sheep
Insurance ($),2018,10300.0,7.0,Sheep
Interest paid ($),2018,18000.0,14.0,Sheep
Lambs at 30 June (no.),2018,824.0,5.0,Sheep
Land rent ($),2018,5050.0,21.0,Sheep
Leasing charges ($),2018,100.0,84.0,Sheep
Livestock materials ($),2018,13190.0,7.0,Sheep
Livestock transfers - inwards ($),2018,2180.0,109.0,Sheep
Livestock transfers - outward ($),2018,1860.0,51.0,Sheep
Lupins area sown (ha),2018,1.0,55.0,Sheep
Lupins produced (t),2018,1.0,64.0,Sheep
Lupins receipts ($),2018,10.0,115.0,Sheep
Net capital additions ($),2018,22200.0,306.0,Sheep
Oats area sown (ha),2018,23.0,26.0,Sheep
Oats produced (t),2018,18.0,37.0,Sheep
Oats receipts ($),2018,700.0,32.0,Sheep
Off farm contracts ($),2018,8110.0,38.0,Sheep
Off farm sharefarming ($),2018,70.0,114.0,Sheep
Off-farm work for owner manager (hrsperwk),2018,4.0,32.0,Sheep
Off-farm work for spouse (hrsperwk),2018,11.0,21.0,Sheep
Oilseeds area sown (ha),2018,5.0,28.0,Sheep
Oilseeds produced (t),2018,5.0,36.0,Sheep
Oilseeds receipts ($),2018,3190.0,39.0,Sheep
Other administration expenses ($),2018,4870.0,9.0,Sheep
Other farm income ($),2018,15700.0,15.0,Sheep
Other livestock purchased ($),2018,20.0,97.0,Sheep
Other livestock receipts ($),2018,4680.0,28.0,Sheep
Other materials ($),2018,4230.0,15.0,Sheep
Other services ($),2018,7750.0,10.0,Sheep
Payments to sharefarmers ($),2018,0.0,115.0,Sheep
Population,2018,9584.0,,Sheep
Produce purchased for resale ($),2018,0.0,,Sheep
Profit at full equity ($),2018,54580.0,21.0,Sheep
Profit at full equity including capital appreciation ($),2018,384060.0,12.0,Sheep
Rams at 30 June (no.),2018,34.0,9.0,Sheep
Rate of return ex. capital appreciation (%),2018,1.1,20.0,Sheep
Rate of return inc. capital appreciation (%),2018,7.9,11.0,Sheep
Repairs and maintenance ($),2018,27240.0,6.0,Sheep
Rice area sown (ha),2018,0.0,97.0,Sheep
Sample Contributing,2018,254.0,,Sheep
Seed ($),2018,2320.0,17.0,Sheep
Shearing crutching ($),2018,25860.0,6.0,Sheep
Sheep and lambs shorn (no.),2018,3020.0,5.0,Sheep
Sheep flock at 30 June (no.),2018,2786.0,4.0,Sheep
Sheep purchased ($),2018,30030.0,18.0,Sheep
Sheep purchased (no.),2018,159.0,24.0,Sheep
Sheep receipts ($),2018,205040.0,6.0,Sheep
Sheep sold (no.),2018,1386.0,5.0,Sheep
Shire and PPB rates ($),2018,10580.0,5.0,Sheep
Sorghum area sown (ha),2018,0.0,140.0,Sheep
Sorghum produced (t),2018,0.0,,Sheep
Sorghum receipts ($),2018,0.0,279.0,Sheep
Steers and other beef cattle at 30 June (no.),2018,3.0,27.0,Sheep
Stores and rations ($),2018,460.0,34.0,Sheep
Telephone ($),2018,2620.0,6.0,Sheep
Total area cropped (ha),2018,78.0,10.0,Sheep
Total area irrigated (ha),2018,,,Sheep
Total cash costs ($),2018,285470.0,5.0,Sheep
Total cash receipts ($),2018,452840.0,5.0,Sheep
Total closing capital ($),2018,4858420.0,4.0,Sheep
Total crop gross receipts ($),2018,12500.0,18.0,Sheep
Total family income ($),2018,155370.0,10.0,Sheep
Total freight ($),2018,7160.0,8.0,Sheep
Total labor used (weeks),2018,86.0,4.0,Sheep
Total non farm income ($),2018,62970.0,10.0,Sheep
Total off farm wages ($),2018,38000.0,18.0,Sheep
Total wool sold (kg),2018,12674.0,5.0,Sheep
Value of land and fixed improvements ($),2018,4065410.0,5.0,Sheep
Vet fees ($),2018,960.0,27.0,Sheep
Wages for hired labor ($),2018,11090.0,14.0,Sheep
Water charges ($),2018,1580.0,30.0,Sheep
Wethers at 30 June (no.),2018,302.0,17.0,Sheep
Wheat area sown (ha),2018,15.0,29.0,Sheep
Wheat produced (t),2018,19.0,22.0,Sheep
Wheat receipts ($),2018,3570.0,29.0,Sheep
Wheat sold (t),2018,10.0,27.0,Sheep
Wool cut per head (kg),2018,4.1,2.0,Sheep
Wool produced (kg),2018,12438.0,5.0,Sheep
Wool receipts ($),2018,183450.0,6.0,Sheep
AI stud fees and herd testing ($),2018,870.0,33.0,Sheep-Beef
Accounting services ($),2018,4780.0,8.0,Sheep-Beef
Advisory services ($),2018,1080.0,86.0,Sheep-Beef
Age of owner manager (yrs),2018,62.0,3.0,Sheep-Beef
Age of spouse (yrs),2018,59.0,3.0,Sheep-Beef
Agistment ($),2018,2380.0,214.0,Sheep-Beef
Area operated at 30 June (ha),2018,2733.0,16.0,Sheep-Beef
Barley area sown (ha),2018,9.0,49.0,Sheep-Beef
Barley produced (t),2018,12.0,27.0,Sheep-Beef
Barley receipts ($),2018,1730.0,31.0,Sheep-Beef
Beef bulls at 30 June (no.),2018,7.0,10.0,Sheep-Beef
Beef calves at 30 June (no.),2018,109.0,15.0,Sheep-Beef
Beef cattle purchased ($),2018,38500.0,24.0,Sheep-Beef
Beef cattle purchased (no.),2018,28.0,31.0,Sheep-Beef
Beef cattle receipts ($),2018,256660.0,12.0,Sheep-Beef
Beef cattle sold (no.),2018,180.0,11.0,Sheep-Beef
Beef cattle transferred off farm (no.),2018,1.0,64.0,Sheep-Beef
Beef cattle transferred onto farm (no.),2018,1.0,82.0,Sheep-Beef
Beef cows at 30 June (no.),2018,156.0,14.0,Sheep-Beef
Beef heifers at 30 June (no.),2018,32.0,15.0,Sheep-Beef
Beef herd at 30 June (no.),2018,341.0,14.0,Sheep-Beef
Branding rate (%),2018,85.5,5.0,Sheep-Beef
Buildup in trading stocks ($),2018,-64350.0,30.0,Sheep-Beef
Canola area sown (ha),2018,9.0,64.0,Sheep-Beef
Canola produced (t),2018,15.0,72.0,Sheep-Beef
Canola receipts ($),2018,9410.0,78.0,Sheep-Beef
Capital appreciation ($),2018,466850.0,22.0,Sheep-Beef
Capital at 1 July ($),2018,6970760.0,8.0,Sheep-Beef
Change in farm debt ($),2018,74720.0,42.0,Sheep-Beef
Contracts - cropping ($),2018,12690.0,18.0,Sheep-Beef
Contracts - livestock ($),2018,2710.0,32.0,Sheep-Beef
Cotton receipts ($),2018,0.0,,Sheep-Beef
Crop and pasture chemicals ($),2018,10130.0,17.0,Sheep-Beef
Dairy cattle at June 30 (no.),2018,0.0,,Sheep-Beef
Depreciation ($),2018,47690.0,12.0,Sheep-Beef
Electricity ($),2018,5230.0,10.0,Sheep-Beef
Equity ratio at 30 June (%),2018,89.0,2.0,Sheep-Beef
Ewes at 30 June (no.),2018,1477.0,8.0,Sheep-Beef
Family share of farm income ($),2018,99730.0,21.0,Sheep-Beef
Farm business debt at 30 June ($),2018,726010.0,23.0,Sheep-Beef
Farm business equity June 30 ($),2018,5921100.0,9.0,Sheep-Beef
Farm business profit ($),2018,59590.0,35.0,Sheep-Beef
Farm cash income ($),2018,260230.0,9.0,Sheep-Beef
Farm liquid assets at 30 June ($),2018,253920.0,21.0,Sheep-Beef
Fertiliser ($),2018,32000.0,14.0,Sheep-Beef
Field peas area sown (ha),2018,0.0,,Sheep-Beef
Field peas produced (t),2018,0.0,,Sheep-Beef
Field peas receipts ($),2018,0.0,,Sheep-Beef
Fodder ($),2018,37420.0,18.0,Sheep-Beef
Fuel oil and grease ($),2018,17820.0,9.0,Sheep-Beef
Grain legumes area sown (ha),2018,4.0,51.0,Sheep-Beef
Grain legumes produced (t),2018,3.0,43.0,Sheep-Beef
Grain legumes receipts ($),2018,400.0,81.0,Sheep-Beef
Handling and marketing ($),2018,24820.0,13.0,Sheep-Beef
Hours worked on farm - total (hrsperwk),2018,97.0,4.0,Sheep-Beef
Hours worked on farm by owner manager (hrsperwk),2018,50.0,3.0,Sheep-Beef
Hours worked on farm by spouse (hrsperwk),2018,16.0,11.0,Sheep-Beef
Imputed labor cost ($),2018,88610.0,4.0,Sheep-Beef
Insurance ($),2018,13680.0,8.0,Sheep-Beef
Interest paid ($),2018,32820.0,22.0,Sheep-Beef
Lambs at 30 June (no.),2018,697.0,9.0,Sheep-Beef
Land rent ($),2018,7120.0,32.0,Sheep-Beef
Leasing charges ($),2018,10.0,110.0,Sheep-Beef
Livestock materials ($),2018,20110.0,15.0,Sheep-Beef
