Variable,Year,Value,RSE,Industry
Dairy cows mated (no.),1990,116.0,2.0,Dairy
Dairy supplies ($),1990,4020.0,8.0,Dairy
Depreciation ($),1990,30360.0,4.0,Dairy
Electricity ($),1990,8010.0,4.0,Dairy
Equity ratio at 30 June (%),1990,89.0,1.0,Dairy
Family share of farm income ($),1990,58660.0,9.0,Dairy
Farm business debt at 30 June ($),1990,235600.0,10.0,Dairy
Farm business equity June 30 ($),1990,1824210.0,6.0,Dairy
Farm business profit ($),1990,5920.0,97.0,Dairy
Farm cash income ($),1990,108790.0,5.0,Dairy
Farm liquid assets at 30 June ($),1990,52410.0,15.0,Dairy
Fertiliser ($),1990,14970.0,6.0,Dairy
Fodder ($),1990,34690.0,7.0,Dairy
Fuel oil and grease ($),1990,10710.0,4.0,Dairy
Handling and marketing ($),1990,26830.0,3.0,Dairy
Hours worked on farm - total (hrsperwk),1990,,,Dairy
Hours worked on farm by owner manager (hrsperwk),1990,,,Dairy
Hours worked on farm by spouse (hrsperwk),1990,,,Dairy
Imputed labor cost ($),1990,78300.0,3.0,Dairy
Insurance ($),1990,3630.0,5.0,Dairy
Interest paid ($),1990,35380.0,8.0,Dairy
Land rent ($),1990,6440.0,18.0,Dairy
Leasing charges ($),1990,1670.0,21.0,Dairy
Livestock materials ($),1990,3960.0,8.0,Dairy
Livestock transfers - inwards ($),1990,190.0,57.0,Dairy
Livestock transfers - outward ($),1990,3820.0,50.0,Dairy
Manufacturing milk (ltrs),1990,309365.0,3.0,Dairy
Market milk (ltrs),1990,117503.0,5.0,Dairy
Milk produced (ltrs),1990,426869.0,3.0,Dairy
Milk receipts excluding freight ($),1990,286540.0,3.0,Dairy
Net capital additions ($),1990,48180.0,29.0,Dairy
Off farm contracts ($),1990,1910.0,33.0,Dairy
Off farm sharefarming ($),1990,270.0,89.0,Dairy
Off-farm work for owner manager (hrsperwk),1990,3.0,41.0,Dairy
Off-farm work for spouse (hrsperwk),1990,5.0,23.0,Dairy
Other administration expenses ($),1990,4240.0,8.0,Dairy
Other farm income ($),1990,7090.0,13.0,Dairy
Other livestock purchased ($),1990,330.0,37.0,Dairy
Other livestock receipts ($),1990,2400.0,33.0,Dairy
Other materials ($),1990,2850.0,11.0,Dairy
Other services ($),1990,7080.0,7.0,Dairy
Payments to sharefarmers ($),1990,11710.0,21.0,Dairy
Population,1990,14453.0,,Dairy
Produce purchased for resale ($),1990,30.0,97.0,Dairy
Profit at full equity ($),1990,48550.0,11.0,Dairy
Profit at full equity including capital appreciation ($),1990,-112120.0,197.0,Dairy
Rate of return ex. capital appreciation (%),1990,2.3,12.0,Dairy
Rate of return inc. capital appreciation (%),1990,-5.4,197.0,Dairy
Repairs and maintenance ($),1990,23940.0,4.0,Dairy
Sample Contributing,1990,295.0,,Dairy
Seed ($),1990,2970.0,13.0,Dairy
Shearing crutching ($),1990,170.0,47.0,Dairy
Shire and PPB rates ($),1990,5890.0,6.0,Dairy
Stores and rations ($),1990,30.0,62.0,Dairy
Telephone ($),1990,1750.0,6.0,Dairy
Total area cropped (ha),1990,34.0,5.0,Dairy
Total area irrigated (ha),1990,23.0,10.0,Dairy
Total cash costs ($),1990,253750.0,3.0,Dairy
Total cash receipts ($),1990,362540.0,3.0,Dairy
Total closing capital ($),1990,2087600.0,5.0,Dairy
Total crop gross receipts ($),1990,6630.0,36.0,Dairy
Total family income ($),1990,87660.0,6.0,Dairy
Total freight ($),1990,2480.0,13.0,Dairy
Total labor used (weeks),1990,124.0,3.0,Dairy
Total non farm income ($),1990,23060.0,16.0,Dairy
Total off farm wages ($),1990,13350.0,25.0,Dairy
